id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1080784,2,2/29/2016 16:40,2/29/2016 16:47,1,-73.95391846,40.77887344,-73.96387482,40.77116394,N,400
id0889885,1,3/11/2016 23:35,3/11/2016 23:53,2,-73.98831177,40.73174286,-73.99475098,40.69493103,N,1100
id0857912,2,2/21/2016 17:59,2/21/2016 18:26,2,-73.99731445,40.72145844,-73.94802856,40.7749176,N,1635
id3744273,2,1/5/2016 9:44,1/5/2016 10:03,6,-73.96166992,40.75971985,-73.95677948,40.7806282,N,1141
id0232939,1,2/17/2016 6:42,2/17/2016 6:56,1,-74.01712036,40.70846939,-73.98818207,40.7406311,N,848
id1918069,2,2/14/2016 18:31,2/14/2016 18:55,2,-73.9936142,40.75188446,-73.99542236,40.72386169,N,1455
id2429028,1,4/20/2016 20:30,4/20/2016 20:36,1,-73.96508026,40.75891495,-73.97680664,40.76410675,N,397
id1663798,2,6/19/2016 16:48,6/19/2016 17:06,1,-73.96389008,40.76543427,-73.87242889,40.77420044,N,1101
id2436943,2,3/28/2016 19:17,3/28/2016 19:48,2,-73.87288666,40.77428055,-73.97901917,40.76187897,N,1886
id2933909,1,4/10/2016 22:01,4/10/2016 22:25,1,-73.98782349,40.74098206,-73.99915314,40.68645096,N,1429
id2750279,1,1/17/2016 19:40,1/17/2016 19:49,1,-73.99711609,40.7220993,-74.00689697,40.70832062,N,527
id1338820,2,4/22/2016 23:33,4/22/2016 23:48,1,-74.00379181,40.74182892,-73.99333954,40.72188187,N,911
id0670329,2,1/13/2016 20:25,1/13/2016 20:30,1,-74.00482178,40.7285881,-73.99702454,40.72712326,N,311
id3131886,2,6/26/2016 13:39,6/26/2016 13:57,1,-73.98880005,40.75274658,-73.99594879,40.76725388,N,1070
id1054271,2,3/17/2016 20:35,3/17/2016 20:46,1,-73.99478912,40.74451065,-73.96574402,40.75407028,N,661
id2930166,2,2/21/2016 1:56,2/22/2016 1:52,1,-74.00287628,40.73413086,-73.95539856,40.76750183,N,86164
id3867951,2,4/13/2016 22:27,4/13/2016 22:42,1,-73.979599,40.76065826,-73.97838593,40.72956085,N,891
id1520195,2,2/29/2016 8:48,2/29/2016 9:13,1,-73.98253632,40.74568176,-74.01101685,40.71466446,N,1547
id0424659,2,2/22/2016 22:36,2/22/2016 22:48,3,-73.98348236,40.75540161,-73.94622803,40.782341,N,717
id3128158,1,4/19/2016 21:52,4/19/2016 22:15,1,-73.94942474,40.71392059,-73.97227478,40.75564194,N,1375
id3331801,1,3/20/2016 3:37,3/20/2016 3:44,1,-74.00061798,40.73591614,-73.98303986,40.73879623,N,440
id2970074,1,6/23/2016 19:08,6/23/2016 19:40,1,-73.86325073,40.76974487,-73.98038483,40.75566483,N,1937
